CleanName,INorEX,label,Method,replicateID,timepoint,nM
phosphoenolpyruvate,EX,26A,AN,A,26,1.84642721
phosphoenolpyruvate,EX,18B,AN,B,18,1.73939237
phosphoenolpyruvate,EX,18A,AN,A,18,1.071770161
phosphoenolpyruvate,EX,18C,AN,C,18,1.407535266
phosphoenolpyruvate,EX,36A,AN,A,36,2.7593521
phosphoenolpyruvate,EX,36B,AN,B,36,9.502313328
phosphoenolpyruvate,EX,36C,AN,C,36,3.675714621
phosphoenolpyruvate,EX,30A,AN,A,30,2.350410472
phosphoenolpyruvate,EX,30C,AN,C,30,1.993119948
phosphoenolpyruvate,EX,30B,AN,B,30,1.850260405
phosphoenolpyruvate,EX,40B,AN,B,40,3.239400324
phosphoenolpyruvate,EX,40C,AN,C,40,2.108677141
phosphoenolpyruvate,EX,40A,AN,A,40,3.488877599
phosphoenolpyruvate,EX,28B,AN,B,28,1.875532204
phosphoenolpyruvate,EX,28A,AN,A,28,2.994203562
phosphoenolpyruvate,EX,28C,AN,C,28,1.153985618
glycerol_3_phosphate,EX,4A,AN,A,4,2.743137916
glycerol_3_phosphate,EX,4B,AN,B,4,5.850082978
glycerol_3_phosphate,EX,4C,AN,C,4,3.79204252
glycerol_3_phosphate,EX,32C,AN,C,32,4.607731926
glycerol_3_phosphate,EX,32A,AN,A,32,4.785396217
glycerol_3_phosphate,EX,32B,AN,B,32,5.934827328
glycerol_3_phosphate,EX,24A,AN,A,24,2.268492715
glycerol_3_phosphate,EX,24B,AN,B,24,5.459517804
glycerol_3_phosphate,EX,24C,AN,C,24,3.606439694
glycerol_3_phosphate,EX,16A,AN,A,16,0.055985192
glycerol_3_phosphate,EX,16C,AN,C,16,0.055985192
glycerol_3_phosphate,EX,16B,AN,B,16,0.055985192
glycerol_3_phosphate,EX,22C,AN,C,22,3.485045164
glycerol_3_phosphate,EX,22B,AN,B,22,3.820956487
glycerol_3_phosphate,EX,22A,AN,A,22,3.611172438
glycerol_3_phosphate,EX,2C,AN,C,2,2.834996993
glycerol_3_phosphate,EX,2A,AN,A,2,2.182813528
glycerol_3_phosphate,EX,2B,AN,B,2,4.274651299
glycerol_3_phosphate,EX,46B,AN,B,46,5.877734563
glycerol_3_phosphate,EX,46A,AN,A,46,5.605882671
glycerol_3_phosphate,EX,46C,AN,C,46,5.915809447
glycerol_3_phosphate,EX,34B,AN,B,34,6.093199401
glycerol_3_phosphate,EX,34A,AN,A,34,6.721239436
glycerol_3_phosphate,EX,34C,AN,C,34,5.928703607
glycerol_3_phosphate,EX,44B,AN,B,44,8.15163815
glycerol_3_phosphate,EX,44A,AN,A,44,4.7363223
glycerol_3_phosphate,EX,44C,AN,C,44,5.202472624
glycerol_3_phosphate,EX,8C,AN,C,8,0.055985192
glycerol_3_phosphate,EX,8B,AN,B,8,0.055985192
glycerol_3_phosphate,EX,8A,AN,A,8,0.055985192
glycerol_3_phosphate,EX,12B,AN,B,12,5.755902661
glycerol_3_phosphate,EX,12A,AN,A,12,4.239335154
glycerol_3_phosphate,EX,12C,AN,C,12,7.765965536
glycerol_3_phosphate,EX,6A,AN,A,6,3.429627141
glycerol_3_phosphate,EX,6C,AN,C,6,4.332387583
glycerol_3_phosphate,EX,6B,AN,B,6,1.099346452
glycerol_3_phosphate,EX,0A,AN,A,0,1.160067975
glycerol_3_phosphate,EX,0C,AN,C,0,4.150861335
glycerol_3_phosphate,EX,0B,AN,B,0,4.007792746
glycerol_3_phosphate,EX,20C,AN,C,20,2.680109433
