Reactions	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
rxn03277	0	0	0	0	0	0	0	0	1
rxn12633	0	0	0	0	0	0	1	1	0
rxn03422	1	1	1	1	1	1	1	1	0
rxn00359	0	1	0	0	0	1	1	1	0
b	0	0	0	0	0	0	0	0	0
rxn07525	0	0	0	0	0	0	0	0	1
rxn00060	1	1	1	1	1	1	1	1	0
rxn01296	0	0	0	0	0	0	0	1	0
rxn08813	0	1	0	0	1	1	1	1	0
rxn14123	1	1	1	0	1	1	1	1	1
rxn01161	0	0	0	0	0	0	1	1	0
rxn00407	1	1	1	1	1	1	1	1	0
rxn10267	0	1	0	0	1	0	1	1	0
rxn07099	1	1	1	0	1	1	1	1	0
rxn01107	0	0	0	0	0	1	1	1	0
rxn16574	1	0	1	0	0	1	1	1	0
rxn05148	1	1	1	1	1	1	1	1	0
rxn08971	0	0	0	0	0	0	1	1	0
rxn05398	0	0	0	0	0	0	0	1	0
rxn03407	0	0	0	0	0	0	0	1	0
rxn03848	0	0	0	0	0	0	1	1	0
rxn01138	1	1	1	0	1	1	1	1	0
rxn01214	0	0	0	0	0	0	0	1	0
rxn02228	0	0	0	0	0	1	1	1	0
rxn15081	1	1	1	0	1	0	0	1	0
rxn00117	1	1	1	1	1	1	1	1	0
rxn04723	0	0	0	0	0	0	0	1	0
