cycle,COBRAModel,iHS4156
414,1.7781821815e-07,1e-07
415,1.7781821815e-07,1e-07
416,1.7781821815e-07,1e-07
417,1.7781821815e-07,1e-07
418,1.7781821815e-07,1e-07
419,1.7781821815e-07,1e-07
420,1.7781821815e-07,1e-07
421,1.7781821815e-07,1e-07
422,1.7781821815e-07,1e-07
423,1.7781821815e-07,1e-07
424,1.7781821815e-07,1e-07
425,1.7781821815e-07,1e-07
426,1.7781821815e-07,1e-07
427,1.7781821815e-07,1e-07
428,1.7781821815e-07,1e-07
429,1.7781821815e-07,1e-07
430,1.7781821815e-07,1e-07
431,1.7781821815e-07,1e-07
432,1.7781821815e-07,1e-07
433,1.7781821815e-07,1e-07
434,1.7781821815e-07,1e-07
435,1.7781821815e-07,1e-07
436,1.7781821815e-07,1e-07
437,1.7781821815e-07,1e-07
438,1.7781821815e-07,1e-07
439,1.7781821815e-07,1e-07
440,1.7781821815e-07,1e-07
441,1.7781821815e-07,1e-07
442,1.7781821815e-07,1e-07
443,1.7781821815e-07,1e-07
444,1.7781821815e-07,1e-07
445,1.7781821815e-07,1e-07
446,1.7781821815e-07,1e-07
447,1.7781821815e-07,1e-07
448,1.7781821815e-07,1e-07
449,1.7781821815e-07,1e-07
450,1.7781821815e-07,1e-07
451,1.7781821815e-07,1e-07
452,1.7781821815e-07,1e-07
453,1.7781821815e-07,1e-07
454,1.7781821815e-07,1e-07
455,1.7781821815e-07,1e-07
456,1.7781821815e-07,1e-07
457,1.7781821815e-07,1e-07
458,1.7781821815e-07,1e-07
459,1.7781821815e-07,1e-07
460,1.7781821815e-07,1e-07
461,1.7781821815e-07,1e-07
462,1.7781821815e-07,1e-07
463,1.7781821815e-07,1e-07
464,1.7781821815e-07,1e-07
465,1.7781821815e-07,1e-07
466,1.7781821815e-07,1e-07
467,1.7781821815e-07,1e-07
468,1.7781821815e-07,1e-07
469,1.7781821815e-07,1e-07
470,1.7781821815e-07,1e-07
471,1.7781821815e-07,1e-07
472,1.7781821815e-07,1e-07
473,1.7781821815e-07,1e-07
474,1.7781821815e-07,1e-07
475,1.7781821815e-07,1e-07
476,1.7781821815e-07,1e-07
477,1.7781821815e-07,1e-07
478,1.7781821815e-07,1e-07
479,1.7781821815e-07,1e-07
480,1.7781821815e-07,1e-07
