ids,growth,status
TK37_RS04400,-6.325490013560835e-13,optimal
TK37_RS03915,-4.643196381288436e-16,optimal
TK37_RS08330,1.0101810363924544,optimal
TK37_RS06005,-1.3689970007711884e-16,optimal
TK37_RS17145,0.0,optimal
TK37_RS06450,1.0101810363924457,optimal
TK37_RS09295,1.0101810363924442,optimal
TK37_RS16105,1.0101810363924442,optimal
TK37_RS06970,2.6856190701173875e-16,optimal
TK37_RS17930,0.0,optimal
TK37_RS18520,0.0,optimal
TK37_RS17515,1.0101810363924457,optimal
TK37_RS01050,1.0101810363924442,optimal
TK37_RS04445,1.0101810363924442,optimal
TK37_RS05695,6.815421569921459e-16,optimal
TK37_RS10930,0.0,optimal
TK37_RS10765,1.004636105753834,optimal
TK37_RS03815,-2.663285615546631e-16,optimal
TK37_RS11035,1.0101810363924388,optimal
TK37_RS00335,4.601160166067774e-16,optimal
TK37_RS18950,1.9048311825865447e-12,optimal
TK37_RS06655,2.7704035452597784e-28,optimal
TK37_RS13255,0.0,optimal
TK37_RS02140,0.0,optimal
TK37_RS03950,1.010181036392442,optimal
TK37_RS09840,1.0101810363924413,optimal
TK37_RS03340,1.0101810363924413,optimal
TK37_RS12590,1.0101810363924404,optimal
TK37_RS15785,1.01018103639245,optimal
TK37_RS13695,1.01018103639245,optimal
TK37_RS10595,1.010181036388809,optimal
TK37_RS13105,1.0101810363924417,optimal
TK37_RS07060,1.0101810363924417,optimal
TK37_RS03585,1.0101810363924417,optimal
TK37_RS11000,1.0101810363924417,optimal
TK37_RS15595,-1.4394087689043558e-16,optimal
TK37_RS02755,0.0,optimal
TK37_RS09410,1.0101810363924326,optimal
TK37_RS13640,1.0101810363924482,optimal
TK37_RS17635,1.0101810363924482,optimal
TK37_RS17370,-9.75088565711247e-16,optimal
TK37_RS06605,-8.611135655841604e-16,optimal
TK37_RS10055,1.0101810363924466,optimal
TK37_RS13150,1.0101810363924495,optimal
TK37_RS11425,1.0101810363924495,optimal
TK37_RS19485,-3.966722945791358e-17,optimal
TK37_RS13005,1.0101810363924442,optimal
TK37_RS11900,1.0101810363924502,optimal
TK37_RS05300,9.499128868959108e-16,optimal
