ids,growth,status,essential_in_model,locus_tag_from_mut_lib
TK37_RS04635,1.0101784851697362,optimal,False,MIT1002_02056
TK37_RS13650,1.010181036392449,optimal,False,MIT1002_02126
TK37_RS01120,-4.2400579191936414e-16,optimal,True,MIT1002_03783
TK37_RS17430,1.0101810363924468,optimal,False,MIT1002_01554
TK37_RS14480,1.0101810363924362,optimal,False,MIT1002_00534
TK37_RS03810,-3.5249473564837604e-16,optimal,True,MIT1002_00812
TK37_RS13295,1.0101810363924428,optimal,False,MIT1002_03167
TK37_RS12305,1.0101810363924453,optimal,False,MIT1002_02936
TK37_RS19730,1.010160626971592,optimal,False,MIT1002_00419
TK37_RS04365,1.010181036392451,optimal,False,MIT1002_02001
TK37_RS13260,1.0101810363924462,optimal,False,MIT1002_03160
TK37_RS19170,1.0101810363924433,optimal,False,MIT1002_02425
TK37_RS07500,1.0101810363924433,optimal,False,MIT1002_02489
TK37_RS15765,1.0101810363924433,optimal,False,MIT1002_02094
TK37_RS17755,1.0072670871856215,optimal,False,MIT1002_01592
TK37_RS12220,1.0101810363924466,optimal,False,MIT1002_01940
TK37_RS06150,1.010181036392452,optimal,False,MIT1002_02669
TK37_RS17325,-4.661327536141786e-16,optimal,True,MIT1002_00448
TK37_RS01260,0.0,optimal,True,MIT1002_01193
TK37_RS03075,1.0088914167089404,optimal,False,MIT1002_03080
TK37_RS16450,-1.1609831456790266e-14,optimal,True,MIT1002_03379
TK37_RS15280,1.2983355345897124e-15,optimal,True,MIT1002_00579
TK37_RS18255,1.0101810363924482,optimal,False,MIT1002_03556
TK37_RS04530,2.3694685834254073e-16,optimal,True,MIT1002_02035
TK37_RS05545,1.0101810363924524,optimal,False,MIT1002_01661
TK37_RS03615,1.0101810363924486,optimal,False,MIT1002_00774
TK37_RS17870,1.0101810363924486,optimal,False,MIT1002_01494
TK37_RS16620,1.0101810363924486,optimal,False,MIT1002_01845
TK37_RS00545,-4.9391363802124705e-16,optimal,True,MIT1002_03899
TK37_RS06190,1.0101810363924448,optimal,False,MIT1002_01761
TK37_RS07225,-3.4820190617380163e-16,optimal,True,MIT1002_01429
TK37_RS09305,1.0101810363924475,optimal,False,MIT1002_02327
TK37_RS18690,1.0101606269715893,optimal,False,MIT1002_02259
TK37_RS16355,1.0101810363924395,optimal,False,MIT1002_02183
TK37_RS00795,1.010181036392182,optimal,False,MIT1002_03848
TK37_RS18235,1.0101810363924442,optimal,False,MIT1002_03560
TK37_RS16995,1.0556314182912593e-15,optimal,True,MIT1002_01733
TK37_RS02700,1.0101810363924475,optimal,False,MIT1002_00992
TK37_RS06770,1.010181036392449,optimal,False,MIT1002_03622
TK37_RS17820,-4.732432549414437e-17,optimal,True,MIT1002_01605
TK37_RS20075,1.0101810363924395,optimal,False,MIT1002_02276
TK37_RS16975,-4.186268163834679e-15,optimal,True,MIT1002_01729
TK37_RS13320,0.0,optimal,True,MIT1002_03172
TK37_RS05420,0.0,optimal,True,MIT1002_01636
TK37_RS18955,-9.372737574631697e-13,optimal,True,MIT1002_03694
TK37_RS13120,1.010181036392449,optimal,False,MIT1002_03132
TK37_RS02805,-6.779145744253708e-16,optimal,True,MIT1002_01014
TK37_RS08525,1.0101810363924395,optimal,False,MIT1002_00170
TK37_RS02785,-1.1562041356457945e-15,optimal,True,MIT1002_01010
TK37_RS09630,0.0,optimal,True,MIT1002_00665
TK37_RS03220,1.0101810363924433,optimal,False,MIT1002_03051
TK37_RS08325,8.920480972530957e-16,optimal,True,MIT1002_00742
TK37_RS00600,1.0101810363924513,optimal,False,MIT1002_03888
TK37_RS08115,1.0101810363924462,optimal,False,
TK37_RS07800,1.0101810363924462,optimal,False,MIT1002_03467
TK37_RS18245,1.0101810363924462,optimal,False,MIT1002_03558
TK37_RS08665,1.0101810363924462,optimal,False,MIT1002_00142
TK37_RS01185,1.0101810363924462,optimal,False,MIT1002_03770
TK37_RS19265,1.0101810363924462,optimal,False,
TK37_RS12490,1.0101810363924462,optimal,False,MIT1002_02972
TK37_RS15290,2.6856190701173875e-16,optimal,True,MIT1002_00581
TK37_RS14210,0.0,optimal,True,MIT1002_00494
TK37_RS04400,-6.325490013560835e-13,optimal,True,MIT1002_02008
TK37_RS03915,-4.643196381288436e-16,optimal,True,MIT1002_00833
TK37_RS08330,1.0101810363924544,optimal,False,MIT1002_00743
TK37_RS06005,-1.3689970007711884e-16,optimal,True,MIT1002_02698
TK37_RS17145,0.0,optimal,True,MIT1002_03735
TK37_RS06450,1.0101810363924455,optimal,False,MIT1002_01816
TK37_RS09295,1.0101810363924442,optimal,False,MIT1002_02329
TK37_RS16105,1.0101810363924442,optimal,False,MIT1002_02641
TK37_RS06970,2.6856190701173875e-16,optimal,True,MIT1002_01481
TK37_RS17930,0.0,optimal,True,MIT1002_01506
TK37_RS18520,0.0,optimal,True,MIT1002_02787
TK37_RS17515,1.0101810363924455,optimal,False,MIT1002_01571
TK37_RS01050,1.0101810363924442,optimal,False,MIT1002_03797
TK37_RS04445,1.0101810363924442,optimal,False,MIT1002_02017
TK37_RS05695,6.815421569921459e-16,optimal,True,MIT1002_01691
TK37_RS10930,0.0,optimal,True,MIT1002_00097
TK37_RS10765,1.004636105753834,optimal,False,MIT1002_00064
TK37_RS03815,-2.663285615546631e-16,optimal,True,MIT1002_00813
TK37_RS11035,1.0101810363924388,optimal,False,MIT1002_02400
TK37_RS00335,4.601160166067774e-16,optimal,True,MIT1002_03941
TK37_RS18950,1.9048311825865447e-12,optimal,True,MIT1002_03695
TK37_RS06655,2.770403545259778e-28,optimal,True,MIT1002_03599
TK37_RS13255,0.0,optimal,True,MIT1002_03159
TK37_RS02140,0.0,optimal,True,MIT1002_01371
TK37_RS03950,1.010181036392442,optimal,False,MIT1002_00840
TK37_RS09840,1.0101810363924413,optimal,False,MIT1002_00624
TK37_RS03340,1.0101810363924413,optimal,False,MIT1002_03027
TK37_RS12590,1.0101810363924404,optimal,False,MIT1002_02833
TK37_RS15785,1.01018103639245,optimal,False,MIT1002_02090
TK37_RS13695,1.01018103639245,optimal,False,MIT1002_02135
TK37_RS10595,1.010181036388809,optimal,False,MIT1002_00251
TK37_RS13105,1.0101810363924415,optimal,False,MIT1002_03129
TK37_RS07060,1.0101810363924415,optimal,False,MIT1002_01463
TK37_RS03585,1.0101810363924415,optimal,False,
TK37_RS11000,1.0101810363924415,optimal,False,MIT1002_02407
TK37_RS15595,-1.4394087689043556e-16,optimal,True,MIT1002_00386
TK37_RS02755,0.0,optimal,True,MIT1002_01004
TK37_RS09410,1.0101810363924326,optimal,False,MIT1002_02306
TK37_RS13640,1.0101810363924482,optimal,False,MIT1002_02124
TK37_RS17635,1.0101810363924482,optimal,False,MIT1002_03328
TK37_RS17370,-9.75088565711247e-16,optimal,True,MIT1002_00439
TK37_RS06605,-8.611135655841604e-16,optimal,True,MIT1002_03588
TK37_RS10055,1.0101810363924466,optimal,False,MIT1002_04156
TK37_RS13150,1.0101810363924495,optimal,False,MIT1002_03138
TK37_RS11425,1.0101810363924495,optimal,False,MIT1002_01148
TK37_RS19485,-3.9667229457913576e-17,optimal,True,MIT1002_00330
TK37_RS13005,1.0101810363924442,optimal,False,MIT1002_01073
TK37_RS11900,1.0101810363924502,optimal,False,MIT1002_02538
TK37_RS05300,9.499128868959108e-16,optimal,True,MIT1002_01613
TK37_RS04860,0.0,optimal,True,MIT1002_00001
TK37_RS07010,1.0101810363924455,optimal,False,MIT1002_01473
TK37_RS11920,1.0101810363924495,optimal,False,MIT1002_01877
TK37_RS10720,-1.2784868446748444e-16,optimal,True,MIT1002_00055
TK37_RS12285,1.0101810363924573,optimal,False,MIT1002_02932
TK37_RS15485,1.0101810363924495,optimal,False,MIT1002_00409
TK37_RS07765,1.0101810363924495,optimal,False,MIT1002_03460
TK37_RS15565,-6.836481577658589e-16,optimal,True,MIT1002_00392
TK37_RS16145,-5.4849449344744654e-30,optimal,True,MIT1002_02633
TK37_RS17150,0.0,optimal,True,MIT1002_03736
TK37_RS03980,1.0101810363924564,optimal,False,MIT1002_00846
TK37_RS15960,1.010181036392446,optimal,False,MIT1002_01950
TK37_RS13655,1.0101810363924346,optimal,False,MIT1002_02127
TK37_RS05930,-6.244794617895876e-18,optimal,True,MIT1002_02713
TK37_RS13670,1.0101810363924475,optimal,False,MIT1002_02130
TK37_RS08515,3.1267826893767864e-16,optimal,True,MIT1002_00172
TK37_RS03905,0.0,optimal,True,MIT1002_00831
