id	name	equation	equation_with_names	lower_bound	upper_bound	gene_reaction_rule	subsystem
rxn01678_c0	ATP:dUDP phosphotransferase [c0]	cpd00002_c0 + cpd00978_c0 <=> cpd00008_c0 + cpd00358_c0	ATP + dUDP <=> ADP + dUTP	-1000.0	1000.0	WP_049588021.1	
rxn02286_c0	UDP-N-acetylmuramate:L-alanine ligase (ADP-forming) [c0]	cpd00002_c0 + cpd00035_c0 + cpd00773_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00890_c0	ATP + L-Alanine + UDP-MurNAc --> ADP + Phosphate + H+ + UDP-N-acetylmuramoyl-L-alanine	0.0	1000.0	WP_049586058.1	
rxn00872_c0	Butanoyl-CoA:oxygen 2-oxidoreductase [c0]	cpd00650_c0 + cpd00982_c0 <=> cpd00015_c0 + cpd00067_c0 + cpd00120_c0	Crotonyl-CoA + FADH2 <=> FAD + H+ + Butyryl-CoA	-1000.0	1000.0	WP_014976690.1 or WP_014949232.1 or WP_049587019.1 or WP_049587170.1 or WP_049587262.1 or WP_014947786.1 or WP_049589161.1 or WP_039227752.1 or WP_049587138.1 or WP_049586522.1	
rxn00832_c0	IMP 1,2-hydrolase (decyclizing) [c0]	cpd00001_c0 + cpd00114_c0 <=> cpd02884_c0	H2O + IMP <=> FAICAR	-1000.0	1000.0	WP_049585742.1	
rxn00360_c0	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase [c0]	cpd00001_c0 + cpd00044_c0 --> cpd00009_c0 + cpd00193_c0	H2O + 3-phosphoadenylylsulfate --> Phosphate + 5'-Adenylyl sulfate [c0]	0.0	1000.0	WP_049585840.1 and WP_014951323.1	
rxn01106_c0	2-Phospho-D-glycerate 2,3-phosphomutase [c0]	cpd00482_c0 <=> cpd00169_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	-1000.0	1000.0	WP_014947970.1 or WP_014947970.1	
rxn00977_c0	Epimelibiose galactohydrolase [c0]	cpd00001_c0 + cpd03196_c0 <=> cpd00108_c0 + cpd00138_c0	H2O + Epimelibiose <=> Galactose + D-Mannose	-1000.0	1000.0	WP_049589075.1	
rxn00931_c0	L-Proline:NADP+ 5-oxidoreductase [c0]	cpd00006_c0 + cpd00129_c0 <=> cpd00005_c0 + 2.0 cpd00067_c0 + cpd02431_c0	NADP + L-Proline <=> NADPH + 2.0 H+ + 1-Pyrroline-5-carboxylate	-1000.0	1000.0	WP_049586037.1	
rxn00066_c0	NADH:hydrogen-peroxide oxidoreductase [c0]	cpd00004_c0 + cpd00025_c0 + cpd00067_c0 --> 2.0 cpd00001_c0 + cpd00003_c0	NADH + H2O2 + H+ --> 2.0 H2O + NAD	0.0	1000.0	WP_014949268.1 and WP_014976359.1	
rxn01188_c0	3-dehydroshikimate hydro-lyase [c0]	cpd01716_c0 --> cpd00001_c0 + cpd00197_c0	3-Dehydroshikimate --> H2O + Protocatechuate	0.0	1000.0	WP_049586331.1	
rxn08756_c0	isopentenyl-diphosphate:NAD+ oxidoreductase [c0]	cpd00004_c0 + cpd00067_c0 + cpd08615_c0 --> cpd00001_c0 + cpd00003_c0 + cpd00113_c0	NADH + H+ + 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate --> H2O + NAD + Isopentenyldiphosphate	0.0	1000.0	WP_049586577.1	
rxn09450_c0	fatty-acid--CoA ligase (hexadecenoate), peroxisomal [c0]	cpd00002_c0 + cpd00010_c0 + cpd15237_c0 --> cpd00012_c0 + cpd00018_c0 + cpd15238_c0	ATP + CoA + (9Z)-Hexadecenoate [c0] --> PPi + AMP + Hexadecenoyl-CoA	0.0	1000.0	WP_049587062.1 or WP_049587639.1 or WP_014950005.1 or WP_049586144.1 or WP_049588937.1	
rxn04938_c0	S-(hydroxymethyl)glutathione:NADP+ oxidoreductase [c0]	cpd00006_c0 + cpd09879_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00759_c0	NADP + S-(Hydroxymethyl)glutathione <=> NADPH + H+ + S-Formylglutathione	-1000.0	1000.0	WP_049586019.1	
rxn05527_c0	TRANS-RXN-199.ce [c0]	cpd00067_e0 + cpd00307_e0 <=> cpd00067_c0 + cpd00307_c0	H+ [e0] + Cytosine [e0] <=> H+ + Cytosine	-1000.0	1000.0	WP_014950772.1	
rxn05115_c0	5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase [c0]	cpd11310_c0 <=> cpd02893_c0	5-phosphoribosyl-5-carboxyaminoimidazole <=> 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	-1000.0	1000.0	WP_014948098.1	
rxn00412_c0	UTP:L-glutamine amido-ligase (ADP-forming) [c0]	cpd00001_c0 + cpd00002_c0 + cpd00053_c0 + cpd00062_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00023_c0 + cpd00052_c0 + 2.0 cpd00067_c0	H2O + ATP + L-Glutamine + UTP --> ADP + Phosphate + L-Glutamate + CTP + 2.0 H+	0.0	1000.0	WP_049585953.1	
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating) [c0]	cpd00001_c0 + cpd00003_c0 + cpd00322_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd00067_c0 + cpd00508_c0	H2O + NAD + L-Isoleucine <=> NADH + NH3 + H+ + 3-methyl-2-oxopentoate	-1000.0	1000.0	WP_049587678.1	
rxn00650_c0	L-cysteinylglycine dipeptidase [c0]	cpd00001_c0 + cpd01017_c0 <=> cpd00033_c0 + cpd00084_c0	H2O + Cys-Gly <=> Glycine + L-Cysteine	-1000.0	1000.0	WP_014999437.1 or WP_053103828.1 or WP_049589000.1 or WP_049586284.1 or WP_080986400.1 or WP_049585982.1	
