,minimum,maximum
rxn02842_c0,0.0,0.0
rxn00514_c0,0.0,998.0019980019978
rxn00789_c0,-16.008024016031868,0.0
rxn03436_c0,0.0,13.974037950061756
rxn05390_c0,0.0,0.0
rxn08976_c0,0.0,0.0
rxn00781_c0,-998.0019980019978,1000.0
rxn00881_c0,0.0,0.0
rxn05298_c0,-1000.0,1000.0
rxn08336_c0,0.0,0.0
rxn03043_c0,-1.998001998001996,0.0
rxn02264_c0,0.0,0.0
rxn05198_c0,-1000.0,998.0019980019981
rxn09202_c0,0.0,0.0
rxn01451_c0,0.0,-1.7728610360360567e-12
rxn03903_c0,0.0,0.0
rxn00097_c0,-985.9341092489461,1000.0
rxn05514_c0,-1.9980019980018824,0.0
rxn02212_c0,0.0,477.3602046101451
rxn00191_c0,-1000.0,1000.0
rxn00695_c0,0.0,0.0
rxn05324_c0,0.0,-2.1665387353071764e-14
rxn10481_c0,0.0,1000.0
rxn03535_c0,0.0,0.0
rxn00692_c0,0.0,1.7809865061554424e-16
rxn00802_c0,0.0,0.0
rxn08440_c0,0.0,2.0802537874311564e-11
rxn02160_c0,0.0,7.952151648678773
rxn08802_c0,0.0,0.0
rxn02315_c0,0.0,0.0
rxn01825_c0,0.0,460.6558809963322
rxn10230_c0,0.0,0.0
rxn02720_c0,-2.061888522534702e-17,0.0
rxn00913_c0,0.0,980.3332578498903
rxn01997_c0,0.0,7.9920159840238725
rxn08521_c0,0.0,0.0
rxn08809_c0,0.0,0.0
rxn00460_c0,0.0,1000.0
rxn00171_c0,0.0,0.0
rxn03958_c0,-6.006014014022298,0.0
rxn00345_c0,-1.9980019980018824,0.0
rxn00178_c0,0.0,0.0
rxn03264_c0,0.0,0.0
rxn01362_c0,0.0,0.0
rxn05329_c0,3.0724010889214534e-30,0.0
rxn03174_c0,-12.016028032043822,0.0
rxn05161_c0,0.0,12.000012000011923
rxn00549_c0,0.0,1000.0
rxn03951_c0,0.0,1.9980019980018824
rxn05200_c0,0.0,21.910237502899577
rxn00506_c0,0.0,1000.0
rxn01894_c0,0.0,0.0
rxn10060_c0,0.0,998.0019980019982
rxn02933_c0,0.0,0.0
rxn00727_c0,0.0,12.016028032043678
rxn10307_c0,0.0,3.5681760833441346e-48
rxn12638_c0,0.0,0.0
rxn01354_c0,0.0,0.0
rxn09105_c0,0.0,0.0
rxn01445_c0,0.0,0.0
rxn05248_c0,0.0,-6.637114527240194e-16
rxn00612_c0,-1000.0,1000.0
rxn08766_c0,0.0,0.0
rxn05539_c0,0.0,42.02413809628121
rxn08841_c0,0.0,0.0
rxn05461_c0,0.0,0.0
rxn12405_c0,-998.0019980019975,998.0019980019991
rxn02159_c0,0.0,7.936263233796175
rxn01111_c0,0.0,0.0
rxn10222_c0,0.0,0.0
rxn10263_c0,0.0,0.0
rxn02791_c0,0.0,0.0
rxn05466_c0,-1000.0,998.0019980019929
rxn08814_c0,0.0,0.0
rxn00917_c0,0.0,748.3147143326155
rxn08078_c0,0.0,0.0
rxn08845_c0,0.0,0.0
rxn07981_c0,0.0,0.0
rxn00300_c0,0.0,4.008012016019931
rxn01925_c0,0.0,0.0
rxn08792_c0,0.0,0.0
rxn02798_c0,0.0,0.0
rxn00999_c0,0.0,0.0
rxn05174_c0,0.0,0.0
rxn08799_c0,-1.9980019980021098,0.0
rxn05957_c0,0.0,0.0
rxn05335_c0,0.0,0.0
rxn03419_c0,-1.2486485738489878e-15,17.9820339660497
rxn08551_c0,0.0,0.0
rxn10256_c0,0.0,0.0
rxn00679_c0,0.0,0.0
rxn01516_c0,0.0,998.0019980019985
rxn00758_c0,0.0,0.0
rxn00272_c0,-9.982025966041533,0.0
rxn10314_c0,0.0,0.0
rxn09111_c0,0.0,0.0
rxn06078_c0,0.0,0.0
rxn05595_c0,-996.00798801598,1000.0
rxn05348_c0,0.0,0.0
rxn03245_c0,0.0,0.0
rxn11946_c0,0.0,0.0
rxn01504_c0,0.0,-9.344923887032914e-14
rxn00907_c0,0.0,1.2704937071678201e-13
rxn05458_c0,0.0,0.0
rxn08300_c0,0.0,0.0
rxn02404_c0,0.0,0.0
rxn01644_c0,0.0,11.984027968043806
rxn08297_c0,0.0,0.0
rxn02911_c0,0.0,0.0
rxn01280_c0,-1000.0,1000.0
rxn05581_c0,-998.0019980019983,2.063079120175268e-13
rxn12847_c0,-1.9980019980018824,0.0
rxn09114_c0,0.0,0.0
rxn09188_c0,0.0,0.0
rxn08822_c0,-9.982025966041874,0.0
rxn05030_c0,0.0,0.0
rxn10208_c0,0.0,0.0
rxn05345_c0,0.0,9.737768670592946e-16
rxn01522_c0,0.0,0.0
rxn00336_c0,0.0,0.0
rxn03891_c0,0.0,-5.204918281134434e-13
rxn01465_c0,-1.9980019980018824,0.0
rxn03052_c0,0.0,-1.3541832904589304e-11
rxn10204_c0,0.0,-2.1819209674548335e-13
rxn01833_c0,0.0,928.8614673772382
rxn05145_c0,0.0,1000.0
rxn01872_c0,0.0,-1.3838649696398435e-12
rxn01301_c0,-1000.0,998.0019980019982
rxn01643_c0,-998.0019980019982,0.0
rxn02449_c0,0.0,996.0079880159802
rxn00248_c0,-1000.0,998.0019980019781
rxn00499_c0,-1000.0,996.0079880159806
rxn08844_c0,0.0,0.0
rxn00707_c0,-1000.0,1000.0
rxn00369_c0,0.0,998.0019980019982
rxn00708_c0,0.0,1000.0
rxn00289_c0,-5.990013982021878,0.0
rxn07433_c0,0.0,0.0
rxn01269_c0,0.0,464.582650539371
rxn00392_c0,0.0,0.0
rxn00747_c0,-1000.0,1000.0
rxn01334_c0,-1.9980019980023371,998.0019980019974
rxn03406_c0,0.0,0.0
rxn00029_c0,0.0,0.0
rxn06673_c0,0.0,0.0
rxn09128_c0,-5.998005998006079,0.0
rxn12646_c0,-1.9980019980018824,0.0
rxn06777_c0,0.0,0.0
rxn03869_c0,0.0,0.0
rxn05256_c0,0.0,0.0
rxn02175_c0,0.0,0.0
rxn05317_c0,0.0,1.998001998001996
rxn08136_c0,0.0,0.0
rxn02835_c0,0.0,13.974037950061415
rxn03884_c0,0.0,1000.0
rxn02774_c0,0.0,0.0
rxn01675_c0,0.0,8.008016016023971
rxn08839_c0,0.0,0.0
rxn01575_c0,-1000.0,1000.0
rxn05398_c0,0.0,0.0
rxn01315_c0,0.0,0.0
rxn01868_c0,0.0,994.0179620658981
rxn03240_c0,-4.570431992006723e-15,0.0
rxn09562_c0,0.0,0.0
rxn01501_c0,0.0,0.0
rxn00555_c0,4.632691180689995e-16,13.96606190214186
rxn03435_c0,-9.998009998010161,0.0
rxn03080_c0,0.0,0.0
rxn10237_c0,0.0,0.0
rxn00143_c0,0.0,-1.596797693785016e-11
rxn12644_c0,-1.9980019980018824,0.0
rxn00147_c0,0.0,1000.0
rxn05365_c0,0.0,0.0
rxn00849_c0,0.0,1.9980019980021098
rxn00737_c0,2.5038490936883986e-13,20.0080280160196
rxn08843_c0,-2.7032857363805127e-15,0.0
rxn01256_c0,-1.5103398604070271e-13,467.5976170144555
rxn00213_c0,0.0,12.000012000011948
rxn05199_c0,-1000.0,998.0019980019919
rxn10162_c0,0.0,9.982025966041533
rxn01629_c0,0.0,0.0
rxn00777_c0,-1000.0,1000.0
rxn01740_c0,-475.454576952647,-1.2879593718985598e-13
rxn05573_c0,0.0,998.0019980019982
rxn05327_c0,0.0,0.0
rxn05205_c0,-2.0479960421385738e-13,21.942125790325008
rxn00668_c0,0.0,0.0
rxn08353_c0,0.0,0.0
rxn02314_c0,0.0,0.0
rxn08801_c0,-1.998001998001996,0.0
rxn02275_c0,0.0,0.0
rxn00251_c0,-1000.0,1000.0
rxn01545_c0,-1.9980019980018824,968.3945936639197
rxn00139_c0,-996.0079880159801,0.0
rxn00790_c0,0.0,0.0
rxn03910_c0,0.0,1.9980019980018824
rxn07976_c0,0.0,0.0
